"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12"
"135","J. Jennings","J. Jennings","WR","SF","14","Ques","injury-status questionable","Final W 32-19 vs NYJ","171","-","-","-","77","113","975","6","-","-","-","-"
"136","G. Davis","G. Davis","WR","JAX","8","Ques","injury-status questionable","Final L 17-20 @ MIA","43","-","-","-","20","42","239","2","-","-","-","-"
"137","T. Bigsby","T. Bigsby","RB","JAX","8","","injury-status","Final L 17-20 @ MIA","122","168","766","7","7","12","54","-","-","-","-","-"
"138","A. Mattison","A. Mattison","RB","LV","8","IR","injury-status ir","Final L 10-22 @ LAC","118","132","420","4","36","48","294","1","-","-","-","-"
"139","Q. Johnston","Q. Johnston","WR","LAC","12","Ques","injury-status questionable","Final W 22-10 vs LV","147","3","6","-","55","91","711","8","-","-","-","-"
"140","A. Thielen","A. Thielen","WR","CAR","14","","injury-status","Final L 10-47 @ NO","116","-","-","-","48","62","615","5","-","-","-","-"
"141","K. Pitts","K. Pitts","TE","ATL","5","","injury-status","Final L 10-18 vs PIT","108","-","-","-","47","74","602","4","-","-","-","-"
"142","C. Kmet","C. Kmet","TE","CHI","5","","injury-status","Final W 24-17 vs TEN","97","-","-","-","47","55","474","4","-","-","-","-"
"143","T. Tucker","T. Tucker","WR","LV","8","","injury-status","Final L 10-22 @ LAC","106","9","44","1","47","81","539","3","-","-","-","-"
"144","T. Spears","T. Spears","RB","TEN","10","IR","injury-status ir","Final L 17-24 @ CHI","98","84","312","4","30","35","224","1","-","-","-","-"
"145","D. Robinson","D. Robinson","WR","LAR","8","Sus","injury-status sus","Final L 20-26 @ DET","108","-","-","-","31","64","505","7","-","-","-","-"
"146","D. Schultz","D. Schultz","TE","HOU","6","","injury-status","Final W 29-27 @ IND","92","-","-","-","53","85","532","2","-","-","-","-"
"147","R. Wilson","R. Wilson","WR","PIT","5","","injury-status","Final W 18-10 @ ATL","-","-","-","-","-","-","-","-","-","-","-","-"
"148","A. Ekeler","A. Ekeler","RB","WAS","12","","injury-status","Final L 20-37 @ TB","112","77","367","4","35","41","366","-","-","-","-","-"
"149","R. Dowdle","R. Dowdle","RB","DAL","10","","injury-status","Final W 33-17 @ CLE","175","235","1079","2","39","49","249","3","-","-","-","-"
"150","D. Mooney","D. Mooney","WR","ATL","5","Ques","injury-status questionable","Final L 10-18 vs PIT","161","-","-","-","64","106","992","5","-","1","-","-"
"151","H. Henry","H. Henry","TE","NE","14","","injury-status","Final W 16-10 @ CIN","112","-","-","-","66","97","674","2","-","-","-","-"
"152","M. Wilson","M. Wilson","WR","ARI","8","","injury-status","Final L 28-34 @ BUF","100","1","7","-","47","71","548","4","-","-","-","-"
"153","T. Allgeier","T. Allgeier","RB","ATL","5","","injury-status","Final L 10-18 vs PIT","100","137","644","3","13","13","88","-","-","-","-","-"
"154","B. Cooks","B. Cooks","WR","DAL","10","","injury-status","Final W 33-17 @ CLE","57","3","-3","-","26","54","259","3","-","-","-","-"
"155","X. Legette","X. Legette","WR","CAR","14","","injury-status","Final L 10-47 @ NO","101","6","24","-","49","84","497","4","-","-","-","-"
"156","J. McLaughlin","J. McLaughlin","RB","DEN","12","","injury-status","Final L 20-26 @ SEA","84","113","496","1","24","27","76","2","-","-","-","-"
"157","D. Wicks","D. Wicks","WR","GB","5","Ques","injury-status questionable","Final L 29-34 @ PHI","91","-","-","-","39","76","415","5","-","-","-","-"
"158","M. Andrews","M. Andrews","TE","BAL","7","","injury-status","Final L 20-27 @ KC","161","4","5","-","55","69","673","11","-","-","-","-"
"159","P. Freiermuth","P. Freiermuth","TE","PIT","5","","injury-status","Final W 18-10 @ ATL","133","-","-","-","65","78","653","7","-","-","-","-"
